text,is_noisy_text
Торремолинос исп город муниципалитет Испании входит провинцию Малага составе автономного сообщества Андалусия Муниципалитет находится составе района комарки КостадельСольОксиденталь,False
Занимает площадь км Население тыс человек год,False
Расстояние административного центра провинции км,False
Пляжный курорт средиземноморском побережье Испании КостадельСоль,False
Рогатица босн серб Рогатица хорв город восточной части Республики Сербской составе Боснии Герцеговины Центр одноимённой общины регионе ИсточноСараево,False
Расположен километрах северовосток Сараево полпути дороге ГораджеСоколац,False
Численность населения города переписи года составляет человек общины человека,False
Этнический состав населения города Рогатица переписи года,False
Код объекта государственном водном реестре,False
Библиотека СенСюльпис историческое здание расположенное улице СенДени фр рус Монреале Квебеке Канада объявлено Историческим памятником Квебека году,False
Библиотека СенСюльпис спроектированная архитектором Эдженом Пайеттом фр рус считается лучших образцов архитектуры бозар провинции Квебек Построенное между годами году здание открылось частная библиотека Общества Сульпициан,False
первая библиотека французском языке Канаде,False
апреля года объявлен архитектурный конкурс Представлено одиннадцать предложений предложение архитектора Эджена Пайетта фр рус выигрывается конкурсе здание стиле бозар спроектировано году Эдженом Пайеттом фр рус также спроектировал центральную библиотеку Монреаля Дом ГастонМирон фр рус просьбе Общества Сульпициане использования университетскими исследователями студентами широкой публикой Первыми библиотекаря Эгидиус Фотё фр рус Оливье Мораулт фр рус,False
году просьбе Эгидиуса Фотё фр рус Гвидо Нинчери создал экслибрис библиотеки Экслибрис представляет две башни единственные остатки форта построенного сульпицианцами веке Также обозначены две важные даты первая год соответствует открытию Семинарии НотрДам год дате открытия библиотеки СенСюльпис,False
время библиотека настоящей публичной библиотекой хотя очень популярна среди горожан скорее частная исследовательская библиотека университетского типа доступная общественности часто посещали многие интеллектуалы времени Куратор Эгидиус Фотё фр рус занимался формированием коллекции высокого уровня отправился США Европу совершить массовые покупки Также устанавливает местную политику закупок Создается служба тиража книг изначально планировалось период книговыдача продолжает расти Оборот бюджета библиотеки фунтов период годов годы Большом зале расположенном подвале устраивались разнообразные культурные мероприятия,False
года начались финансовые проблемы Общество Сульпициане управляющие заведением понесли огромные убытки фондовом рынке поэтому сокращают персонал закупки книг,False
года библиотека перестала выдавать книги,False
году Национальная консерватория музыки занимавшая помещение библиотеки года сделала предложение покупке Многие общественные деятели времени выступили против сделки конечном итоге состоялась Кризис года больше ухудшил финансовое положение Сульпициане другого выхода закрыть июля года,False
Библиотека приобретена году правительством Квебека эквивалентно неуплаченным налогам Общество Сульпициане городу Монреаль,False
Библиотека вновь откроет двери января года дополнение коллекции СенСюльпис добавлены другие документы составляющие национальную коллекцию После робкого старта библиотека СенСюльпис снова стала популярной Несмотря успех нормальному функционированию препятствует ряд проблем частности отсутствие профессиональных библиотекарей нехватка помещений персонала Куратор Дэмиен Жасмин неоднократно высказывающийся проблемах учреждения ушел отставку году,False
отставка заставила штат Квебек осознать важность библиотеки Поэтому штат приступает найму квалифицированного персонала ремонту здания году Жорж Картье первый профессиональный библиотекарь стал куратором году библиотека стала Национальной библиотекой Квебека Здание июля внесено список исторических памятников Культурного наследия Квебека,False
Проект Великая библиотека Квебека предполагает перенос национальной коллекции новое здание бульваре Мезоннёв Пустое здание улице СенДени продано году млн Монреальскому университету Квебека выставил продажу два года спустя Противодействие частной передаче исторического здания привело правительство Квебека выкупило здание миллиона долларов году Правительство начало поиск партнеров использования,False
году Университет Квебека Монреале купил здание вынужден продать обратно министерству культуры финансовым причинам году году объявлено планах превратить здание музыкальный центр разместится группа музыкальных групп Квебека представил первый сезон концертов сентября май года году объявлено здание использоваться новый технологический инкубатор библиотека подростков,False
января года Министерство культуры коммуникаций Квебека города Монреаля объявили Национальная библиотека архивы Квебека иметь полномочия возродить библиотеку СенСюльпис случае библиотека должна стать лабораторией инноваций также библиотекой подростков июня года объявлено консорциум выиграл архитектурный конкурс модернизацию восстановление здания здание носит название находится ведении руководства библиотеки Открытие библиотеки впервые объявленное год отложено весны года затем перенесено год позже задержка вызвана слишком высокой стоимостью реконструкции Библиотекарь Бенуа Миньо директор отвечающий проект,False
Битва Канштадте бои Канштадте Эсслингене происходила июля года между французской РейнскоМозельской армией генерала Жана Моро австрийской ВерхнеРейнской армией эрцгерцога Карла окрестностях города Штутгарта кампанию года время войны Первой коалиции Битва Канштадте небольшой французской победой вынудила эрцгерцога Карла оставить позиции Неккаре продолжить отступление Дунаю,False
конце июня французская армия под командованием генерала Моро переправилась через Рейн Страсбурге одержала ряд побед над австрийской ВерхнеРейнской армией сначала под фельдмаршалом Латуром затем Эттлингене июля года над эрцгерцогом Карлом,False
После поражения Эттлингене эрцгерцог Карл решил боем отступить Дунаю где хотел присоединится отступившей севера армии Вартенслебена затем повернуть двух французских армий окажется наиболее уязвимой,False
июля эрцгерцог достиг Неккара Людвигсбурге восьми милях северу Штутгарта Затем переправился через реку занял прочную оборонительную позицию восточном берегу Между Оттмарсхаймом Мюндельхаймом стал летающий корпус батальона эскадронов Большая часть армии саксонских войск вместе батальонов эскадронов расположилась лагерем правом берегу Неккара Канштадтом двух милях северовостоку Штутгарта Правый фланг высотах РемсекенаНеккаре левый протянулся вдоль реки Эсслингена Другой летающий корпус батальонов эскадронов прикрыл левое крыло расположившись Плохингене Австрийский авангард батальонов эскадронов размещен западном берегу реки,False
июля после Эттлингена французы начали преследовать австрийцев направлении Лангенштейнбаха силами корпуса Дезе правом фланге французской армии корпус Ферино июля Эльце оттеснил корпус Конде австрийцев Фрёлиха июля генерал СенСир дивизией Тапонье батальонов эскадронов занял Штутгарт дивизия Дюэма батальона эскадронов стала впереди Хорба Попытка овладеть переправой Канштадте окончилась неудачей июля две дивизии левого крыла французской РейнскоМозельской армии под командованием генерала Дезе резервный корпус батальонов эскадронов прибыли Файхинген,False
Положение австрийцев Канштадте Эсслингене слишком опасным Моро ибо продолжить операции оттеснив Неккара Моро решил атаковать австрийскую позицию понимал лобовая атака слишком дорогостоящей поэтому решил попытаться обойти австрийский левый фланг приказал генералу СенСиру атаковать австрийскую линию Канштадта Эсслингена,False
Эрцгерцог разгадал план противника вечером июля стал перебрасывать войска батальонов эскадронов угрожаемые участки подкрепления прибыли районы вовремя раз тогда рассвета дивизия Тапонье двинулась против Канштадта дивизия генерала Лароша против Эсслингена,False
Тапонье атаковал деревню Берг авангард расположенный перед Канштадтом Австрийцы отброшены назад реку захвачены пригороды Канштадта Правда сломать мост через Неккар австрийцам удалось поскольку контролировали город правый берег обстоятельство использовано французами конце концов бой участке прекращался ночи ограничился довольно сильной перестрелкой берега реки против другого,False
время Ларош атаковал отряд фельдмаршаллейтенанта Готце близ Эсслингена Наступая колонной дороге ведущей Дегерлоха Неллинген через Руит направлении Эсслингена Вейлерхофа отбросил австрийских гвардейцев сады Эсслингена высоту перед таможней Готце контратаковал двумя батальонами тремя егерскими ротами выгнал французов соседнего леса заняли Вейлерхоф Французы получили подкрепления повторили атаку однако отбита третья наступила ночь австрийцы остались владеть Вейлерхофом холмами пределами Эсслингена Французы со стороны заняли позиции Руита выставили пикеты опушке леса впереди,False
позициях обе стороны оставались день июля Эрцгерцог ждал повторения атак противника последовала поэтому вечером отдал приказ начать отступление Швабский саксонский корпуса покинули союзника ушли Гамердинген другие сторону Нюрнберга июля части СенСира переправились через Неккар заняли Эсслинген Канштадт,False
